DMA_CONDITION,GP,GR,FP,FR,WebSales,WebOrders,AOV
1,0.074290558,0.040080861,0.003901959,0.06531358,0.950802547,1.014882222,0.936859988
10,0.091815871,0.428265202,0.003451443,0.837758296,0.849313849,0.943872442,0.899818462
11,0.351894849,0.461228593,0.002855055,0.061403873,0.87936834,1.021883376,0.860536887
12,0.607169493,0.850573865,0.065295119,0.431860029,0.940505656,1.090910698,0.862128915
13,0.112752975,0.805627374,0.510127561,0.449561507,1.019312985,1.09607546,0.929966067
14,0.367447238,1.110287066,0.48960033,0.062314736,0.900531688,1.03542634,0.869720668
15,0.721117723,1.169862016,0.449225117,0.918098473,0.966169969,1.156399452,0.835498466
16,0.095455861,0.037046203,1.030642586,0.778141629,0.958428397,1.163646879,0.823641961
17,0.38351637,0.043045651,1.009226325,0.959767488,0.976701645,1.130417379,0.864018603
18,0.547801854,0.044449004,1.04496039,0.062224476,1.006014445,1.155263177,0.870809756
19,0.705187612,0.878222577,0.972260646,0.800922095,1.09040799,1.184580731,0.920501205
2,0.377162105,0.043148986,0.003150587,0.414980011,0.87743377,1.067173151,0.822203753
3,0.704217543,0.482325103,0.002774483,0.668286627,0.959851502,1.111018142,0.863938639
4,0.076627627,1.087215248,0.519424939,0.970181006,0.961753592,1.101199345,0.873369201
5,0.366414393,0.49042435,0.478088898,0.936436756,0.922904594,1.084398002,0.85107552
6,0.689563036,1.089059203,0.453670757,0.753889775,1.071235958,1.188208397,0.90155562
7,0.081630597,0.826787292,0.967693049,0.477247125,0.884427465,1.022028406,0.865364856
8,0.358462093,0.847195336,1.127599972,0.062859033,0.98515423,1.14348172,0.861539116
9,0.664499724,0.459042861,0.997051838,0.795238905,1.025134196,1.192837802,0.859407871